Date,Symbol,Open,High,Low,Close,Volume
2019/8/20,2594,52.782,53.087,52.282,52.415,8799564
2019/8/21,2594,52.313,52.608,51.854,52.608,8567785
2019/8/22,2594,51.875,51.875,50.621,51.171,21108924
2019/8/23,2594,50.957,50.968,49.164,49.826,24696939
2019/8/26,2594,48.939,49.989,48.654,49.969,14227441
2019/8/27,2594,50.061,50.58,50.04,50.489,14479160
2019/8/28,2594,51.263,52.323,50.743,50.764,17650972
2019/8/29,2594,50.733,50.733,49.734,50.04,9740862
2019/8/30,2594,50.529,50.845,50.101,50.397,10182534
2019/9/2,2594,50.937,50.957,50.285,50.672,11833676
2019/9/3,2594,50.947,50.947,50.091,50.438,9567533
2019/9/4,2594,50.427,50.427,49.948,50.315,10703502
2019/9/5,2594,50.448,51.365,50.438,51.1,17490743
2019/9/6,2594,51.304,52.18,51.171,51.457,14657357
2019/9/9,2594,51.824,52.649,51.528,52.568,19482841
2019/9/10,2594,52.69,52.863,51.834,52.129,12837364
2019/9/11,2594,52.242,52.67,51.875,52.089,11635720
2019/9/12,2594,52.282,52.364,51.324,51.763,9914481
2019/9/13,2594,51.763,51.763,51.763,51.763,0
2019/9/16,2594,52.333,52.343,51.824,52.14,8378772
2019/9/17,2594,52.18,52.211,50.631,50.927,10559765
2019/9/18,2594,50.957,51.09,50.764,50.998,5328299
2019/9/19,2594,51.141,51.222,50.754,51.151,6170761
2019/9/20,2594,51.365,51.406,50.957,51.029,6876285
2019/9/23,2594,50.855,50.906,49.785,50.122,9593517
2019/9/24,2594,50.346,51.365,50.132,50.825,7983375
2019/9/25,2594,50.805,50.805,49.836,49.979,8075345
2019/9/26,2594,50.244,50.448,49.408,49.418,6952445
2019/9/27,2594,49.418,49.745,49.306,49.51,4068099
2019/9/30,2594,49.582,50.071,49.469,49.714,4914451
2019/10/1,2594,49.714,49.714,49.714,49.714,0
2019/10/2,2594,49.714,49.714,49.714,49.714,0
2019/10/3,2594,49.714,49.714,49.714,49.714,0
2019/10/4,2594,49.714,49.714,49.714,49.714,0
2019/10/7,2594,49.714,49.714,49.714,49.714,0
2019/10/8,2594,49.734,50.203,49.225,49.347,4861484
2019/10/9,2594,49.225,49.245,48.185,49.011,5047112
2019/10/10,2594,49.327,50.142,49.286,49.938,6255309
2019/10/11,2594,49.429,49.897,48.889,49.357,7574174
2019/10/14,2594,49.918,50.326,49.429,49.785,8388152
2019/10/15,2594,49.836,49.938,48.817,48.919,7661072
2019/10/16,2594,48.919,49.164,48.389,48.43,7150354
2019/10/17,2594,48.43,48.664,48.308,48.43,3851023
2019/10/18,2594,48.909,48.909,47.717,47.798,7500971
2019/10/21,2594,47.798,47.88,47.095,47.462,5282536
2019/10/22,2594,47.482,47.757,47.411,47.696,3322407
2019/10/23,2594,47.686,47.849,47.452,47.492,3036755
2019/10/24,2594,47.39,47.717,47.39,47.553,3156884
2019/10/25,2594,47.696,48.073,47.329,47.941,3707553
2019/10/28,2594,47.931,48.369,47.931,48.206,5259192
2019/10/29,2594,48.246,48.807,48.002,48.053,5510938
2019/10/30,2594,46.779,46.779,44.333,44.802,17241884
2019/10/31,2594,44.792,44.792,43.416,43.67,11068357
2019/11/1,2594,43.62,44.588,43.11,44.404,6730450
2019/11/4,2594,44.404,44.639,43.956,44.262,5411918
2019/11/5,2594,44.353,45.199,43.844,44.792,7699013
2019/11/6,2594,44.944,45.709,44.364,45.158,9671421
2019/11/7,2594,44.873,46.524,44.527,45.536,9683550
2019/11/8,2594,46.759,46.83,45.658,45.739,9137313
2019/11/11,2594,45.658,45.658,44.465,44.792,6167358
2019/11/12,2594,44.761,45.179,44.384,44.944,4456929
2019/11/13,2594,44.965,45.016,43.823,44.109,5797794
2019/11/14,2594,44.333,44.659,44.149,44.353,4039789
2019/11/15,2594,44.364,44.465,43.62,43.946,4614919
2019/11/18,2594,43.721,43.854,43.334,43.65,5368647
2019/11/19,2594,43.375,44.588,43.375,44.578,5346348
2019/11/20,2594,44.435,44.435,43.834,43.925,3938684
2019/11/21,2594,44.027,44.71,43.599,44.455,5699971
2019/11/22,2594,44.567,45.454,44.282,44.659,7026890
2019/11/25,2594,45.006,46.147,44.374,45.729,12172663
2019/11/26,2594,45.637,45.953,44.588,45.454,9956805
2019/11/27,2594,45.311,45.322,44.69,44.741,4833098
2019/11/28,2594,44.414,44.567,43.976,44.007,4812003
2019/11/29,2594,44.099,44.455,43.844,44.221,4410362
2019/12/2,2594,44.221,44.374,43.874,43.976,4331093
2019/12/3,2594,43.976,44.679,43.813,44.628,4704804
2019/12/4,2594,44.557,45.291,44.272,44.975,6895971
